timestamp,temperature,humidity,wind_speed,wind_direction,rainfall,precipProbability,summary,icon,apparentTemperature,dewPoint,pressure,pressureError,cloudCover,uvIndex,visibility
1544630400,26.3,90.0,1.69,347.0,0.0,0.0,Humid and Mostly Cloudy,partly-cloudy-night,28.8,75.99,1011.25,NaN,0.79,0.0,7.58
1544634000,26.3,88.0,3.43,342.0,0.0,0.0,Humid and Mostly Cloudy,partly-cloudy-night,28.7,75.44,1010.98,NaN,0.87,0.0,10.0
1544637600,26.3,87.0,5.21,343.0,0.0,0.0,Humid and Overcast,cloudy,28.5,74.92,1010.65,NaN,0.96,0.0,10.0
1544641200,26.1,87.0,6.21,343.0,0.0,0.0,Humid and Overcast,cloudy,28.3,74.7,1010.19,NaN,1.0,0.0,10.0
1544644800,25.9,88.0,6.52,340.0,0.0,0.0,Humid and Overcast,cloudy,27.8,74.74,1009.66,NaN,1.0,0.0,10.0
1544648400,25.8,89.0,6.86,340.0,0.0,0.0,Humid and Overcast,cloudy,27.5,74.81,1009.41,NaN,1.0,0.0,10.0
1544652000,25.8,89.0,7.19,342.0,0.0,0.0,Humid and Overcast,cloudy,27.5,74.93,1009.66,NaN,1.0,0.0,10.0
1544655600,26.0,88.0,7.56,346.0,0.0,0.0,Humid and Overcast,cloudy,28.0,75.09,1010.17,NaN,1.0,0.0,10.0
1544659200,26.6,86.0,7.97,350.0,0.0,0.0,Humid and Overcast,cloudy,29.2,75.22,1010.66,NaN,1.0,0.0,10.0
1544662800,27.6,81.0,8.45,354.0,0.0,0.0,Humid and Overcast,cloudy,31.2,75.35,1011.09,NaN,1.0,2.0,10.0
1544666400,28.8,76.0,8.94,359.0,0.0,0.0,Humid and Overcast,cloudy,33.4,75.48,1011.5,NaN,1.0,3.0,10.0
1544670000,29.8,72.0,9.37,3.0,0.0007,0.05,Humid and Overcast,cloudy,34.9,75.54,1011.64,NaN,1.0,5.0,10.0
1544673600,30.3,70.0,9.79,6.0,0.0066,0.25,Humid and Overcast,cloudy,35.7,75.5,1011.34,NaN,1.0,5.0,10.0
1544677200,30.6,68.0,10.2,6.0,0.0261,0.34,Light Rain,rain,36.1,75.38,1010.79,NaN,1.0,5.0,8.56
1544680800,31.3,65.0,10.57,8.0,0.0467,0.32,Light Rain,rain,37.0,75.22,1010.21,NaN,1.0,5.0,6.24
1544684400,31.0,66.0,11.01,9.0,0.0491,0.33,Light Rain,rain,36.4,75.01,1009.6,NaN,1.0,5.0,6.14
1544688000,30.3,68.0,11.42,9.0,0.041,0.35,Light Rain,rain,35.4,74.77,1008.98,NaN,1.0,3.0,7.16
1544691600,29.6,71.0,11.52,9.0,0.0311,0.35,Light Rain,rain,34.2,74.57,1008.7,NaN,1.0,2.0,8.0
1544695200,29.0,73.0,11.14,8.0,0.0199,0.34,Humid and Overcast,cloudy,33.2,74.44,1009.02,NaN,1.0,0.0,8.0
1544698800,28.3,75.0,10.44,5.0,0.0116,0.32,Humid and Overcast,cloudy,32.1,74.37,1009.67,NaN,1.0,0.0,7.81
1544702400,27.8,78.0,9.74,3.0,0.0083,0.32,Humid and Overcast,cloudy,31.2,74.33,1010.31,NaN,1.0,0.0,8.19
1544706000,27.3,80.0,9.08,0.0,0.0049,0.3,Humid and Overcast,cloudy,30.5,74.4,1010.92,NaN,1.0,0.0,9.89
1544709600,27.0,82.0,8.4,356.0,0.0021,0.26,Humid and Overcast,cloudy,29.9,74.53,1011.52,NaN,1.0,0.0,10.0
1544713200,26.6,84.0,7.92,353.0,0.0019,0.26,Humid and Overcast,cloudy,29.2,74.65,1011.81,NaN,1.0,0.0,10.0
1544716800,25.9,89.0,3.29,1.0,0.0,0.0,Humid and Mostly Cloudy,partly-cloudy-night,27.8,75.02,1011.41,NaN,0.79,0.0,7.93
1544720400,25.7,89.0,5.59,8.0,0.0,0.0,Humid and Mostly Cloudy,partly-cloudy-night,26.6,74.73,1011.0,NaN,0.88,0.0,10.0
1544724000,25.4,90.0,7.93,8.0,0.0,0.0,Humid and Overcast,cloudy,26.3,74.49,1010.58,NaN,0.96,0.0,10.0
1544727600,25.1,91.0,8.78,5.0,0.0005,0.14,Humid and Overcast,cloudy,26.1,74.46,1010.15,NaN,1.0,0.0,10.0
1544731200,25.0,92.0,8.44,358.0,0.0022,0.16,Humid and Overcast,cloudy,25.9,74.55,1009.72,NaN,1.0,0.0,10.0
1544734800,25.1,92.0,8.24,353.0,0.0042,0.18,Humid and Overcast,cloudy,26.0,74.62,1009.52,NaN,1.0,0.0,10.0
1544738400,25.2,91.0,8.26,349.0,0.0045,0.19,Humid and Overcast,cloudy,26.2,74.62,1009.74,NaN,1.0,0.0,10.0
1544742000,25.6,89.0,8.42,347.0,0.0039,0.19,Humid and Overcast,cloudy,26.5,74.6,1010.2,NaN,1.0,0.0,10.0
1544745600,26.1,86.0,8.65,345.0,0.0034,0.18,Humid and Overcast,cloudy,28.2,74.63,1010.68,NaN,1.0,0.0,10.0
1544749200,27.2,82.0,8.95,345.0,0.0033,0.21,Humid and Overcast,cloudy,30.3,74.82,1011.18,NaN,1.0,2.0,10.0
1544752800,28.3,77.0,9.28,345.0,0.0054,0.24,Humid and Overcast,cloudy,32.4,75.07,1011.71,NaN,1.0,3.0,10.0
1544756400,29.0,75.0,9.38,345.0,0.0115,0.33,Humid and Overcast,cloudy,33.6,75.24,1011.93,NaN,1.0,5.0,9.15
1544760000,29.1,74.0,9.14,344.0,0.0279,0.45,Light Rain,rain,33.9,75.32,1011.64,NaN,1.0,5.0,7.28
1544763600,28.9,75.0,8.64,342.0,0.0601,0.57,Rain,rain,33.4,75.31,1011.03,NaN,1.0,6.0,5.33
1544767200,28.6,77.0,8.13,342.0,0.0896,0.65,Rain,rain,33.0,75.28,1010.45,NaN,1.0,5.0,3.88
1544770800,27.8,79.0,7.59,342.0,0.0949,0.7,Rain,rain,31.7,75.13,1009.92,NaN,1.0,5.0,3.21
1544774400,27.0,83.0,6.98,342.0,0.0874,0.72,Rain,rain,30.0,74.94,1009.41,NaN,1.0,3.0,3.03
1544778000,26.3,86.0,6.39,342.0,0.0759,0.69,Rain,rain,28.6,74.75,1009.17,NaN,1.0,2.0,3.02
1544781600,25.9,87.0,5.87,343.0,0.0574,0.64,Rain,rain,27.7,74.58,1009.35,NaN,1.0,0.0,2.88
1544785200,25.6,88.0,5.42,345.0,0.0367,0.53,Light Rain,rain,26.6,74.45,1009.81,NaN,1.0,0.0,2.92
1544788800,25.4,89.0,5.21,345.0,0.0231,0.45,Humid and Overcast,cloudy,26.4,74.39,1010.31,NaN,1.0,0.0,3.74
1544792400,25.4,90.0,5.38,342.0,0.0151,0.38,Humid and Overcast,cloudy,26.3,74.44,1010.88,NaN,1.0,0.0,6.18
1544796000,25.4,90.0,5.77,338.0,0.01,0.32,Humid and Overcast,cloudy,26.3,74.56,1011.5,NaN,1.0,0.0,9.4
1544799600,25.4,91.0,6.1,334.0,0.0078,0.31,Humid and Overcast,cloudy,26.3,74.67,1011.83,NaN,1.0,0.0,10.0
1544803200,26.8,85.0,1.48,317.0,0.0029,0.14,Humid and Mostly Cloudy,partly-cloudy-night,29.6,75.22,1011.72,NaN,0.79,0.0,7.35
1544806800,26.4,87.0,3.77,326.0,0.0056,0.18,Humid and Mostly Cloudy,partly-cloudy-night,28.8,75.24,1011.23,NaN,0.88,0.0,9.2
