timestamp,temperature,humidity,wind_speed,wind_direction,rain_probability,pressure
1544803200,26.8,83.0,0.0,320.0,0.07,1012.0
1544806800,26.6,85.0,2.0,315.0,0.03,1011.6
1544810400,26.4,87.0,2.0,310.0,0.02,1010.93
1544814000,26.1,89.0,3.0,311.0,0.03,1010.3
1544817600,25.4,94.0,6.0,312.0,0.02,1009.8
1544821200,25.2,94.0,6.0,312.0,0.06,1009.5
1544824800,25.1,95.0,6.0,314.0,0.08,1009.7
1544828400,25.0,95.0,7.0,315.0,0.09,1010.1
1544832000,25.6,92.0,7.0,324.0,0.12,1010.6
1544835600,26.7,88.0,8.0,334.0,0.21,1011.0
1544839200,28.0,82.0,9.0,339.0,0.24,1011.3
1544842800,28.9,78.0,10.0,351.0,0.49,1011.4
1544846400,29.6,74.0,9.0,355.0,0.69,1011.2
1544850000,29.9,72.0,10.0,18.0,0.76,1010.5
1544853600,29.7,74.0,11.0,20.0,0.97,1009.7
1544857200,29.1,77.0,10.0,20.0,0.9,1008.94
1544860800,28.7,79.0,9.0,5.0,0.7,1008.2
1544864400,27.7,82.0,7.0,7.0,0.62,1008.0
1544868000,27.3,84.0,7.0,7.0,0.61,1008.3
1544871600,26.8,86.0,6.0,8.0,0.56,1009.0
1544875200,26.5,87.0,7.0,0.0,0.47,1009.8
1544878800,26.3,89.0,6.0,345.0,0.48,1010.6
1544882400,26.2,89.0,5.0,323.0,0.42,1011.4
1544886000,26.0,90.0,4.0,319.0,0.42,1011.7
1544889600,25.4,91.0,2.0,322.0,0.0,1012.0
1544893200,25.4,92.0,2.0,315.0,0.0,1011.8
1544896800,25.4,92.0,3.0,308.0,0.03,1011.5
1544900400,25.3,93.0,3.0,309.0,0.08,1011.0
1544904000,25.6,92.0,4.0,311.0,0.07,1010.5
1544907600,25.4,93.0,5.0,307.0,0.2,1010.3
1544911200,25.3,94.0,5.0,309.0,0.24,1010.5
1544914800,25.3,93.0,5.0,311.0,0.35,1010.94
1544918400,25.9,90.0,5.0,320.0,0.3,1011.4
1544922000,27.0,86.0,5.0,331.0,0.36,1011.9
1544925600,28.3,81.0,5.0,335.0,0.42,1012.2
1544929200,29.4,75.0,6.0,348.0,0.59,1012.3
1544932800,30.1,73.0,5.0,344.0,0.53,1012.0
1544936400,30.4,70.0,5.0,20.0,0.66,1011.3
